record_id,country_code,country_name,region,income_level,date,latitude,longitude,population_millions,temperature_celsius,temp_anomaly_celsius,precipitation_mm,heat_wave_days,drought_indicator,extreme_weather_events,pm25_ugm3,air_quality_index,respiratory_disease_rate,cardio_mortality_rate,vector_disease_risk_score,waterborne_disease_incidents,heat_related_admissions,healthcare_access_index,gdp_per_capita_usd,mental_health_index,food_security_index,pollution_index,multi_disease_burden,healthcare_gap,air_quality_level
1,20,21,3,0,2015-01-04,37.09,-95.71,331,4.59,0.76,75.7,0,0,0,39.0,82.0,69.4,31.5,6.6,16.2,1.4,77.3,63627.0,71.2,90.2,3198.0,123.7,1.6002587322121604,Moderate
2,20,21,3,0,2015-01-11,37.09,-95.71,331,3.13,-0.5,97.0,0,0,0,17.9,6.0,70.0,26.3,5.2,11.4,0.0,83.6,63627.0,70.6,94.0,107.39999999999999,112.9,1.3504784688995217,Good
3,20,21,3,0,2015-01-18,37.09,-95.71,331,3.99,-0.14,74.1,0,0,0,91.5,137.0,66.9,33.4,1.3,19.5,0.0,84.7,63627.0,63.4,100.0,12535.5,121.10000000000001,1.4297520661157026,Unhealthy for Sensitive Groups
4,20,21,3,0,2015-01-25,37.09,-95.71,331,6.43,-0.06,87.7,0,0,0,5.5,3.0,47.0,35.0,6.0,9.7,9.0,84.3,63627.0,68.1,96.4,16.5,97.7,1.1589561091340452,Good
6,20,21,3,0,2015-02-08,37.09,-95.71,331,6.44,0.18,151.0,0,0,0,114.1,157.0,80.2,30.6,0.7,23.7,11.9,78.0,63733.0,70.1,97.1,17913.7,135.20000000000002,1.7333333333333336,Unhealthy
7,20,21,3,0,2015-02-15,37.09,-95.71,331,6.86,0.38,102.1,0,0,0,28.9,51.0,70.3,33.2,5.9,25.4,9.1,81.7,63733.0,68.5,100.0,1473.8999999999999,134.8,1.649938800489596,Moderate
8,20,21,3,0,2015-02-22,37.09,-95.71,331,8.34,0.64,102.9,1,0,1,0.0,5.0,48.0,33.3,6.4,17.7,20.3,86.7,63733.0,59.4,95.0,0.0,105.4,1.215686274509804,Good
9,20,21,3,0,2015-03-01,37.09,-95.71,331,9.58,-0.83,82.2,0,0,0,18.8,29.0,80.3,24.9,5.9,18.3,7.8,84.9,63839.0,75.7,100.0,545.2,129.4,1.5241460541813898,Good
10,20,21,3,0,2015-03-08,37.09,-95.71,331,8.25,0.71,74.5,1,0,1,20.3,22.0,59.1,32.5,0.3,18.8,13.7,87.1,63839.0,71.9,95.2,446.6,110.69999999999999,1.2709529276693454,Good
11,20,21,3,0,2015-03-15,37.09,-95.71,331,8.83,-0.16,142.7,1,0,1,0.7,23.0,54.1,32.0,7.3,12.3,13.6,83.2,63839.0,72.1,100.0,16.099999999999998,105.69999999999999,1.270432692307692,Good
12,20,21,3,0,2015-03-22,37.09,-95.71,331,11.32,-0.34,126.3,0,0,0,40.4,73.0,63.9,22.2,8.1,25.1,20.8,79.1,63839.0,65.2,96.0,2949.2,119.29999999999998,1.5082174462705435,Moderate
13,20,21,3,0,2015-03-29,37.09,-95.71,331,12.28,0.64,132.7,0,0,0,57.0,82.0,59.6,28.7,2.6,18.1,20.8,82.5,63839.0,71.4,100.0,4674.0,109.0,1.3212121212121213,Moderate
16,20,21,3,0,2015-04-19,37.09,-95.71,331,9.17,0.16,125.9,1,0,1,70.8,106.0,86.5,37.2,5.7,19.4,15.1,79.9,63945.0,62.0,100.0,7504.799999999999,148.8,1.8623279098873593,Unhealthy for Sensitive Groups
17,20,21,3,0,2015-04-26,37.09,-95.71,331,9.96,-0.26,62.8,0,0,0,56.4,77.0,77.8,29.0,1.8,14.9,17.8,82.6,63945.0,66.3,100.0,4342.8,123.5,1.4951573849878936,Moderate
19,20,21,3,0,2015-05-10,37.09,-95.71,331,10.93,0.64,122.7,1,0,1,76.7,104.0,62.2,33.5,10.6,18.4,19.7,76.5,64051.0,63.0,99.2,7976.8,124.69999999999999,1.630065359477124,Unhealthy for Sensitive Groups
20,20,21,3,0,2015-05-17,37.09,-95.71,331,5.8,0.78,147.9,0,0,0,27.2,34.0,58.7,45.6,6.2,23.1,5.1,82.9,64051.0,70.3,100.0,924.8,133.60000000000002,1.6115802171290714,Good
21,20,21,3,0,2015-05-24,37.09,-95.71,331,3.88,0.65,86.2,0,0,0,95.6,154.0,79.4,35.4,4.7,16.1,3.3,80.6,64051.0,74.4,97.4,14722.4,135.60000000000002,1.6823821339950376,Unhealthy
22,20,21,3,0,2015-05-31,37.09,-95.71,331,6.17,0.48,144.2,0,0,0,40.2,69.0,55.8,36.8,6.7,15.0,0.0,86.0,64051.0,63.9,96.4,2773.8,114.3,1.3290697674418603,Moderate
23,20,21,3,0,2015-06-07,37.09,-95.71,331,9.14,-0.21,84.1,1,0,1,49.7,67.0,76.4,29.3,7.6,17.1,17.7,77.1,64157.0,79.1,100.0,3329.9,130.4,1.6913099870298316,Moderate
24,20,21,3,0,2015-06-14,37.09,-95.71,331,4.24,0.61,56.0,0,0,0,68.1,112.0,63.4,33.0,0.0,27.4,1.4,86.6,64157.0,74.0,100.0,7627.199999999999,123.80000000000001,1.4295612009237877,Unhealthy for Sensitive Groups
25,20,21,3,0,2015-06-21,37.09,-95.71,331,3.33,0.11,104.0,0,0,0,61.0,109.0,63.5,27.2,9.1,8.3,9.0,80.4,64157.0,68.5,99.7,6649.0,108.1,1.3445273631840795,Unhealthy for Sensitive Groups
26,20,21,3,0,2015-06-28,37.09,-95.71,331,3.14,0.65,105.5,0,0,0,51.2,78.0,50.9,29.0,4.0,20.8,1.1,82.7,64157.0,74.9,100.0,3993.6000000000004,104.7,1.2660217654171706,Moderate
27,20,21,3,0,2015-07-05,37.09,-95.71,331,6.83,0.21,64.6,0,0,0,93.6,158.0,96.2,30.5,7.9,11.2,12.1,85.6,64263.0,69.2,93.0,14788.8,145.79999999999998,1.703271028037383,Unhealthy
28,20,21,3,0,2015-07-12,37.09,-95.71,331,-2.3,-0.94,83.7,0,0,0,57.5,101.0,74.7,32.7,7.1,17.8,0.0,79.2,64263.0,68.6,100.0,5807.5,132.3,1.6704545454545456,Unhealthy for Sensitive Groups
29,20,21,3,0,2015-07-19,37.09,-95.71,331,1.07,-0.03,76.4,0,0,0,51.7,41.0,56.5,29.3,4.8,19.8,0.0,81.6,64263.0,77.6,100.0,2119.7000000000003,110.39999999999999,1.3529411764705883,Good
30,20,21,3,0,2015-07-26,37.09,-95.71,331,-3.72,-0.67,79.7,0,0,0,70.6,129.0,62.9,25.1,5.7,28.7,0.0,86.0,64263.0,77.8,100.0,9107.4,122.4,1.4232558139534885,Unhealthy for Sensitive Groups
32,20,21,3,0,2015-08-09,37.09,-95.71,331,-0.73,0.76,57.6,0,0,0,89.2,113.0,59.7,33.5,6.2,18.3,0.0,84.5,64368.0,69.6,93.2,10079.6,117.7,1.3928994082840238,Unhealthy for Sensitive Groups
33,20,21,3,0,2015-08-16,37.09,-95.71,331,-2.15,-0.46,36.4,0,0,0,26.2,38.0,67.4,22.8,6.5,15.9,0.0,80.8,64368.0,69.5,94.6,995.6,112.60000000000001,1.3935643564356437,Good
34,20,21,3,0,2015-08-23,37.09,-95.71,331,-5.92,1.0,49.6,0,0,0,32.6,52.0,58.7,33.9,6.8,22.3,0.0,75.6,64368.0,67.1,98.4,1695.2,121.69999999999999,1.6097883597883598,Moderate
36,20,21,3,0,2015-09-06,37.09,-95.71,331,-7.37,-0.31,11.1,0,0,0,63.2,109.0,79.5,31.7,2.4,18.5,0.0,87.2,64474.0,75.1,97.5,6888.8,132.10000000000002,1.5149082568807342,Unhealthy for Sensitive Groups
37,20,21,3,0,2015-09-13,37.09,-95.71,331,-5.64,-0.32,83.7,0,0,0,10.5,13.0,62.6,28.5,5.4,16.7,0.0,81.3,64474.0,67.7,96.6,136.5,113.2,1.3923739237392374,Good
38,20,21,3,0,2015-09-20,37.09,-95.71,331,-5.93,-0.4,24.3,0,0,0,56.3,72.0,69.6,27.8,4.3,14.0,0.0,79.6,64474.0,73.8,100.0,4053.6,115.69999999999999,1.4535175879396984,Moderate
39,20,21,3,0,2015-09-27,37.09,-95.71,331,-5.02,0.39,0.0,0,0,0,73.6,102.0,62.1,33.4,0.0,16.2,0.0,79.1,64474.0,62.4,100.0,7507.2,111.7,1.4121365360303415,Unhealthy for Sensitive Groups
41,20,21,3,0,2015-10-11,37.09,-95.71,331,-3.96,-0.08,51.8,0,0,0,34.5,53.0,58.8,35.4,5.8,20.2,0.0,83.7,64580.0,67.6,97.6,1828.5,120.19999999999999,1.4360812425328553,Moderate
42,20,21,3,0,2015-10-18,37.09,-95.71,331,-5.73,0.16,104.0,0,0,0,61.0,87.0,80.3,28.8,0.0,13.5,0.0,87.5,64580.0,68.2,99.8,5307.0,122.6,1.401142857142857,Moderate
43,20,21,3,0,2015-10-25,37.09,-95.71,331,-3.9,-0.09,68.3,0,0,0,0.0,4.0,57.7,22.1,8.4,20.2,0.0,83.0,64580.0,73.2,100.0,0.0,108.40000000000002,1.3060240963855425,Good
44,20,21,3,0,2015-11-01,37.09,-95.71,331,-3.61,-0.21,20.2,0,0,0,93.7,147.0,74.6,33.1,8.9,16.3,0.0,85.4,64686.0,67.2,100.0,13773.9,132.9,1.5562060889929743,Unhealthy for Sensitive Groups
45,20,21,3,0,2015-11-08,37.09,-95.71,331,-0.79,0.52,0.0,0,0,0,67.0,74.0,85.1,35.9,4.8,19.9,0.0,82.8,64686.0,82.2,100.0,4958.0,145.7,1.759661835748792,Moderate
46,20,21,3,0,2015-11-15,37.09,-95.71,331,-1.48,0.26,58.3,0,0,0,28.6,50.0,77.4,38.0,9.8,15.9,0.0,85.8,64686.0,69.4,100.0,1430.0,141.1,1.6445221445221445,Good
47,20,21,3,0,2015-11-22,37.09,-95.71,331,-5.6,0.78,50.4,0,0,0,39.3,44.0,45.2,38.0,5.2,12.1,0.0,81.7,64686.0,68.3,100.0,1729.1999999999998,100.5,1.230110159118727,Good
48,20,21,3,0,2015-11-29,37.09,-95.71,331,-4.43,-0.1,50.9,0,0,0,0.0,1.0,47.7,33.0,10.5,24.1,0.0,82.7,64686.0,64.5,100.0,0.0,115.30000000000001,1.3941958887545345,Good
49,20,21,3,0,2015-12-06,37.09,-95.71,331,-0.54,0.01,69.3,0,0,0,42.5,55.0,57.3,29.9,3.4,14.9,0.0,74.5,64792.0,68.7,100.0,2337.5,105.5,1.4161073825503356,Moderate
50,20,21,3,0,2015-12-13,37.09,-95.71,331,2.51,0.64,5.6,0,0,0,66.1,95.0,68.3,35.9,7.5,11.9,0.0,80.2,64792.0,69.7,100.0,6279.499999999999,123.6,1.541147132169576,Moderate
51,20,21,3,0,2015-12-20,37.09,-95.71,331,1.08,0.03,51.3,0,0,0,31.5,49.0,58.2,32.7,1.8,16.7,0.0,83.2,64792.0,74.1,95.0,1543.5,109.4,1.3149038461538463,Good
52,20,21,3,0,2015-12-27,37.09,-95.71,331,2.72,0.84,47.0,0,0,0,34.2,37.0,43.6,43.0,1.3,14.4,6.5,78.3,64792.0,61.2,100.0,1265.4,102.3,1.3065134099616857,Good
53,20,21,3,0,2016-01-03,37.09,-95.71,331,5.67,-1.06,29.5,0,0,0,40.5,53.0,66.1,24.5,8.3,19.1,6.6,83.4,64898.0,68.2,99.5,2146.5,118.0,1.4148681055155874,Moderate
54,20,21,3,0,2016-01-10,37.09,-95.71,331,0.72,-0.65,109.1,0,0,0,42.4,61.0,62.9,28.5,3.4,14.6,0.0,77.4,64898.0,65.1,100.0,2586.4,109.4,1.4134366925064599,Moderate
55,20,21,3,0,2016-01-17,37.09,-95.71,331,7.13,0.26,99.2,0,0,0,64.7,122.0,79.6,22.1,1.2,15.4,8.9,83.1,64898.0,72.6,96.1,7893.400000000001,118.3,1.4235860409145609,Unhealthy for Sensitive Groups
56,20,21,3,0,2016-01-24,37.09,-95.71,331,4.47,-0.28,53.9,0,0,0,26.1,19.0,48.1,33.8,2.2,31.7,5.9,84.6,64898.0,70.9,95.5,495.90000000000003,115.80000000000001,1.368794326241135,Good
57,20,21,3,0,2016-01-31,37.09,-95.71,331,5.69,0.08,177.1,0,0,0,22.2,28.0,59.1,31.3,4.0,28.4,5.6,84.0,64898.0,62.2,97.7,621.6,122.80000000000001,1.461904761904762,Good
58,20,21,3,0,2016-02-07,37.09,-95.71,331,8.7,-0.52,132.2,0,0,0,15.4,19.0,53.9,30.5,5.5,11.8,13.8,85.7,65004.0,73.1,100.0,292.6,101.7,1.1866977829638272,Good
59,20,21,3,0,2016-02-14,37.09,-95.71,331,10.03,0.25,105.9,0,0,0,0.0,12.0,51.3,33.5,4.4,24.1,14.2,78.3,65004.0,67.7,100.0,0.0,113.30000000000001,1.4469987228607921,Good
60,20,21,3,0,2016-02-21,37.09,-95.71,331,10.01,-0.5,149.5,1,0,1,40.4,32.0,57.6,34.2,7.6,19.9,15.8,82.6,65004.0,72.4,100.0,1292.8,119.30000000000001,1.4443099273607751,Good
62,20,21,3,0,2016-03-06,37.09,-95.71,331,7.61,-0.51,136.8,0,0,0,28.5,30.0,81.6,24.1,8.5,26.6,1.9,80.7,65109.0,70.4,97.2,855.0,140.79999999999998,1.7447335811648077,Good
67,20,21,3,0,2016-04-10,37.09,-95.71,331,7.94,0.4,138.8,1,0,1,86.3,133.0,93.7,33.0,5.8,21.5,19.3,85.7,65215.0,67.3,100.0,11477.9,154.0,1.7969661610268377,Unhealthy for Sensitive Groups
68,20,21,3,0,2016-04-17,37.09,-95.71,331,8.39,0.09,97.3,0,0,0,28.5,45.0,62.2,27.8,4.6,8.3,14.9,81.3,65215.0,75.4,91.2,1282.5,102.89999999999999,1.2656826568265682,Good
69,20,21,3,0,2016-04-24,37.09,-95.71,331,7.65,-0.06,136.2,0,0,0,57.5,103.0,80.3,28.6,1.6,17.9,13.0,85.2,65215.0,63.9,100.0,5922.5,128.4,1.5070422535211268,Unhealthy for Sensitive Groups
70,20,21,3,0,2016-05-01,37.09,-95.71,331,9.27,-0.33,94.5,0,0,0,9.8,36.0,52.1,34.0,6.0,20.8,15.9,86.5,65321.0,72.2,100.0,352.8,112.89999999999999,1.3052023121387282,Good
71,20,21,3,0,2016-05-08,37.09,-95.71,331,9.54,0.38,109.2,0,0,0,74.2,117.0,64.7,25.1,4.1,14.8,13.5,80.6,65321.0,62.0,100.0,8681.4,108.7,1.3486352357320102,Unhealthy for Sensitive Groups
72,20,21,3,0,2016-05-15,37.09,-95.71,331,10.51,-0.11,107.9,0,0,0,27.1,4.0,42.3,33.3,7.4,20.6,10.7,79.0,65321.0,69.8,99.7,108.4,103.6,1.311392405063291,Good
73,20,21,3,0,2016-05-22,37.09,-95.71,331,10.81,0.47,98.5,0,0,0,41.0,48.0,62.7,31.0,4.7,17.6,12.5,85.5,65321.0,71.0,94.4,1968.0,116.0,1.3567251461988303,Good
74,20,21,3,0,2016-05-29,37.09,-95.71,331,8.27,-0.22,87.9,0,0,0,77.4,130.0,73.8,25.7,7.1,20.5,15.5,80.9,65321.0,73.2,100.0,10062.0,127.1,1.5710754017305313,Unhealthy for Sensitive Groups
75,20,21,3,0,2016-06-05,37.09,-95.71,331,8.81,0.13,159.3,0,0,0,10.9,7.0,48.4,29.0,6.3,21.1,9.3,87.7,65427.0,69.9,100.0,76.3,104.80000000000001,1.1949828962371722,Good
76,20,21,3,0,2016-06-12,37.09,-95.71,331,6.15,0.05,96.1,0,0,0,56.1,69.0,64.3,21.9,6.2,21.7,4.4,78.1,65427.0,77.9,93.6,3870.9,114.1,1.4609475032010244,Moderate
77,20,21,3,0,2016-06-19,37.09,-95.71,331,4.8,0.55,138.4,0,0,0,20.9,47.0,55.9,31.9,7.7,21.8,0.0,80.6,65427.0,77.4,100.0,982.3,117.3,1.4553349875930521,Good
79,20,21,3,0,2016-07-03,37.09,-95.71,331,1.71,-0.53,39.4,0,0,0,81.1,115.0,77.8,27.1,6.4,18.9,0.0,77.8,65533.0,75.0,97.3,9326.5,130.20000000000002,1.6735218508997431,Unhealthy for Sensitive Groups
80,20,21,3,0,2016-07-10,37.09,-95.71,331,0.62,0.78,99.0,0,0,0,31.5,42.0,56.2,44.3,6.1,20.7,0.9,81.9,65533.0,71.2,98.5,1323.0,127.3,1.5543345543345541,Good
81,20,21,3,0,2016-07-17,37.09,-95.71,331,0.39,0.01,90.6,0,0,0,43.2,76.0,62.1,30.5,0.0,23.1,0.0,88.8,65533.0,75.0,85.3,3283.2000000000003,115.69999999999999,1.3029279279279278,Moderate
